"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"80","https://toiletmap.gov.au/facility/80","Town Hall Square","Other","5 Barber Street","Kalamunda","WA","","-31.97197326","116.05801028","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Oct-Apr 6am-9pm, May-Sep 6am-6pm","","True","True","False","False","False","True","False","False","No wheelchair access","True","True","False","False","False"
"82","https://toiletmap.gov.au/facility/82","Zephyrs Cafe","Food outlet","Riverside Road","East Fremantle","WA","","-32.02925052","115.76283930","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"85","https://toiletmap.gov.au/facility/85","Town Hall","Other","135 Canning Highway","East Fremantle","WA","","-32.04114943","115.76293890","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Mon-Fri 8:30am-5pm","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"86","https://toiletmap.gov.au/facility/86","Town Beach","Beach","Friedman Way","Exmouth","WA","","-21.94531060","114.13970150","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","True"
"89","https://toiletmap.gov.au/facility/89","Ningaloo Centre","Other","Murat Road","Exmouth","WA","","-22.01908650","114.11179950","True","True","","True","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","Open during business hours","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"91","https://toiletmap.gov.au/facility/91","Dunes Beach","Beach","Yardie Creek Road","North West Cape","WA","","-21.80481026","114.10705415","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"92","https://toiletmap.gov.au/facility/92","Tantabiddi Boat Ramp","Car park","Tantabiddy Access","North West Cape","WA","","-21.91244166","113.97921243","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","True","False","False","","False","False","False","False","False"
"93","https://toiletmap.gov.au/facility/93","Truck Stop","Other","57 Frew Street","Thargomindah","QLD","","-27.99442962","143.82115128","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","","False","True","False","False","True"
"94","https://toiletmap.gov.au/facility/94","Thargo Roadhouse","Service station","33 Stafford Street","Thargomindah","QLD","","-27.99442957","143.82284626","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"95","https://toiletmap.gov.au/facility/95","Napunyah Caravan Park","Caravan park","45 Powell Street","Thargomindah","QLD","","-27.99712237","143.82525576","False","False","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","True","True","","False","False","False","False","True"
"97","https://toiletmap.gov.au/facility/97","Torrence Parade","Other","Torrence Parade","Hungerford","QLD","","-28.99604467","144.41060826","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"99","https://toiletmap.gov.au/facility/99","William Simmons Memorial Park","Park or reserve","Gore Highway","Millmerran","QLD","","-27.87681745","151.25805840","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","","False","False","False","False","False"
"100","https://toiletmap.gov.au/facility/100","Bicentennial Park","Park or reserve","Factory Lane","Millmerran","QLD","","-27.87448115","151.26778340","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Variable hours","Facilities are only open for special events","True","True","False","False","False","False","False","False","","False","False","False","False","False"
